,cursor,mouse,file,clipboard,delete,process,thread,desktop,window,monitor,service,reg,internet,http,ftp,url,icmp,environment,isdebugger,heap,execute,family_name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,accdfisa
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,aura
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,aura
3,1,0,11,1,2,4,1,0,6,0,0,0,0,0,0,0,0,4,1,5,1,bitman
4,2,0,39,1,7,10,8,2,35,1,0,11,0,0,0,0,0,9,1,7,0,bitman
5,2,0,39,1,7,10,8,2,35,1,0,11,0,0,0,0,0,9,1,7,0,bitman
6,2,0,20,4,4,11,3,0,7,0,0,5,5,2,0,0,0,5,1,7,3,bitman
7,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,bitman
8,5,0,24,6,3,1,4,6,43,0,0,11,0,0,0,0,2,0,0,0,0,bitman
9,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,bitman
10,0,0,29,0,9,9,5,0,17,0,0,21,0,0,0,0,0,6,1,6,3,bitman
11,1,1,16,1,3,4,2,1,22,0,0,3,4,0,0,1,0,4,1,5,0,bitman
12,6,0,6,6,2,3,6,1,29,0,22,31,0,0,0,0,0,0,0,1,0,bitman
13,7,2,54,5,7,9,14,2,42,0,0,28,0,0,0,0,0,7,1,7,2,bitman
14,0,0,20,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,bitman
15,0,0,3,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,bitman
16,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bitman
17,0,0,19,0,11,2,1,0,1,0,0,43,0,0,0,0,0,0,0,0,0,bitman
18,1,0,12,3,4,0,0,1,6,0,0,5,0,0,0,0,0,0,0,1,0,bitman
19,3,0,37,0,5,12,11,2,12,0,0,15,0,0,0,0,0,5,1,6,1,bitman
20,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,bitman
21,5,1,35,10,10,7,4,2,56,1,1,25,0,0,0,0,0,6,1,5,3,bitman
22,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,bitman
23,0,0,29,0,9,9,5,0,17,0,0,21,0,0,0,0,0,6,1,6,3,bitman
24,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,bitman
25,2,0,20,4,4,11,3,0,7,0,0,5,5,2,0,0,0,5,1,7,3,bitman
